iter	Passed	Remaining
1005	40411	160440
1006	40459	160432
1007	40529	160510
1008	40596	160576
1009	40673	160680
1010	40749	160779
1011	40823	160874
1012	40901	160980
1013	40987	161120
1014	41034	161106
1015	41067	161037
1016	41103	160976
1017	41137	160914
1018	41200	160959
1019	41249	160952
1020	41305	160974
1021	41344	160926
1022	41380	160870
1023	41436	160889
1024	41489	160900
1025	41562	160982
1026	41651	161129
1027	41727	161226
1028	41804	161326
1029	41873	161396
1030	41950	161497
1031	42029	161601
1032	42096	161663
1033	42180	161787
1034	42252	161865
1035	42313	161903
1036	42375	161941
1037	42418	161909
1038	42471	161914
1039	42524	161920
1040	42588	161968
1041	42628	161921
1042	42690	161961
1043	42747	161980
1044	42808	162016
1045	42841	161945
1046	42876	161882
1047	42913	161827
1048	42948	161764
1049	42982	161696
1050	43018	161635
1051	43059	161596
1052	43092	161526
1053	43129	161468
1054	43161	161394
1055	43193	161321
1056	43230	161265
1057	43264	161200
1058	43301	161143
1059	43341	161100
1060	43379	161046
1061	43418	161000
1062	43465	160982
1063	43515	160975
1064	43555	160931
1065	43587	160857
1066	43621	160791
1067	43658	160735
1068	43695	160679
1069	43728	160610
1070	43762	160543
1071	43797	160481
1072	43833	160423
1073	43870	160367
1074	43909	160319
1075	43946	160266
1076	43982	160206
1077	44017	160146
1078	44049	160071
1079	44082	160001
1080	44114	159929
1081	44148	159863
1082	44181	159797
1083	44215	159729
1084	44251	159672
1085	44285	159607
1086	44318	159536
1087	44352	159474
1088	44388	159414
1089	44423	159354
1090	44456	159285
1091	44494	159234
1092	44534	159190
1093	44567	159124
1094	44600	159055
1095	44634	158989
1096	44670	158930
1097	44704	158869
1098	44737	158800
1099	44770	158732
1100	44805	158670
1101	44837	158600
1102	44873	158543
1103	44910	158488
1104	44945	158428
1105	44978	158359
1106	45013	158298
1107	45047	158235
1108	45082	158173
1109	45117	158115
1110	45151	158051
1111	45185	157985
1112	45221	157930
1113	45255	157866
1114	45294	157820
1115	45330	157764
1116	45364	157700
1117	45397	157633
1118	45439	157595
1119	45476	157543
1120	45523	157523
1121	45559	157467
1122	45593	157405
1123	45626	157338
1124	45660	157275
1125	45694	157211
1126	45729	157153
1127	45763	157088
1128	45795	157019
1129	45830	156960
1130	45869	156912
1131	45903	156848
1132	45937	156789
1133	45972	156728
1134	46007	156670
1135	46043	156613
1136	46078	156554
1137	46113	156493
1138	46149	156439
1139	46181	156368
1140	46213	156298
1141	46249	156243
1142	46283	156181
1143	46320	156127
1144	46354	156066
1145	46395	156027
1146	46433	155979
1147	46475	155942
1148	46514	155899
1149	46549	155839
1150	46585	155784
1151	46622	155731
1152	46654	155662
1153	46690	155608
1154	46730	155566
1155	46769	155519
1156	46803	155457
1157	46838	155401
1158	46875	155347
1159	46912	155295
1160	46947	155238
1161	46985	155188
1162	47017	155120
1163	47056	155076
1164	47093	155024
1165	47134	154985
1166	47168	154924
1167	47208	154882
1168	47243	154824
1169	47278	154767
1170	47312	154705
1171	47345	154640
1172	47383	154592
1173	47419	154538
1174	47464	154512
1175	47516	154508
1176	47565	154495
1177	47601	154441
1178	47637	154388
1179	47673	154332
1180	47709	154279
1181	47746	154226
1182	47781	154168
1183	47817	154113
1184	47851	154052
1185	47884	153988
1186	47917	153924
1187	47950	153862
1188	47981	153792
1189	48016	153734
1190	48053	153681
1191	48085	153616
1192	48118	153552
1193	48152	153489
1194	48184	153424
1195	48218	153364
1196	48254	153309
1197	48290	153254
1198	48331	153217
1199	48364	153153
1200	48396	153088
1201	48434	153039
1202	48482	153023
1203	48517	152966
1204	48557	152926
1205	48591	152864
1206	48630	152821
1207	48665	152764
1208	48697	152698
1209	48736	152652
1210	48771	152597
1211	48806	152541
1212	48840	152481
1213	48874	152421
1214	48907	152358
1215	48941	152299
1216	48976	152242
1217	49010	152182
1218	49044	152121
1219	49079	152066
1220	49118	152023
1221	49155	151970
1222	49186	151903
1223	49220	151842
1224	49254	151783
1225	49288	151726
1226	49322	151664
1227	49355	151603
1228	49387	151538
1229	49420	151477
1230	49454	151418
1231	49489	151360
1232	49545	151370
1233	49630	151464
1234	49682	151460
1235	49717	151406
1236	49754	151356
1237	49790	151300
1238	49823	151240
1239	49857	151180
1240	49895	151133
1241	49929	151074
1242	49963	151016
1243	49996	150953
1244	50030	150894
1245	50063	150833
1246	50098	150778
1247	50151	150776
1248	50190	150732
1249	50222	150666
1250	50256	150608
1251	50291	150554
1252	50324	150491
1253	50356	150427
1254	50390	150368
1255	50428	150321
1256	50462	150262
1257	50496	150204
1258	50530	150146
1259	50564	150088
1260	50601	150037
1261	50632	149972
1262	50665	149911
1263	50701	149857
1264	50736	149802
1265	50771	149746
1266	50804	149686
1267	50837	149625
1268	50868	149559
1269	50902	149500
1270	50937	149445
1271	50970	149384
1272	51005	149329
1273	51039	149271
1274	51074	149217
1275	51108	149159
1276	51143	149105
1277	51175	149040
1278	51207	148976
1279	51241	148921
1280	51275	148863
1281	51337	148887
1282	51406	148930
1283	51453	148909
1284	51493	148869
1285	51533	148830
1286	51571	148783
1287	51604	148723
1288	51639	148669
1289	51675	148615
1290	51711	148564
1291	51748	148515
1292	51782	148458
1293	51818	148406
1294	51857	148363
1295	51892	148310
1296	51928	148259
1297	51961	148197
1298	51997	148146
1299	52034	148097
1300	52067	148038
1301	52099	147975
1302	52134	147919
1303	52167	147862
1304	52203	147809
1305	52237	147753
1306	52271	147697
1307	52312	147659
1308	52376	147687
1309	52416	147646
1310	52452	147594
1311	52491	147553
1312	52542	147542
1313	52588	147520
1314	52636	147502
1315	52708	147551
1316	52743	147497
1317	52780	147448
1318	52816	147398
1319	52855	147353
1320	52927	147404
1321	53005	147468
1322	53086	147542
1323	53162	147601
1324	53216	147599
1325	53255	147556
1326	53292	147507
1327	53325	147448
1328	53363	147400
1329	53398	147349
1330	53434	147296
1331	53475	147258
1332	53528	147253
1333	53574	147228
1334	53611	147181
1335	53647	147129
1336	53692	147102
1337	53728	147049
1338	53799	147094
1339	53867	147129
1340	53944	147191
1341	53999	147189
1342	54031	147127
1343	54064	147069
1344	54098	147009
1345	54132	146953
1346	54167	146899
1347	54203	146847
1348	54240	146797
1349	54295	146797
1350	54330	146743
1351	54363	146684
1352	54398	146629
1353	54431	146571
1354	54464	146512
1355	54502	146466
1356	54539	146416
1357	54572	146356
1358	54605	146297
1359	54638	146239
1360	54672	146181
1361	54705	146122
1362	54736	146057
1363	54769	145998
1364	54803	145940
1365	54840	145893
1366	54874	145836
1367	54909	145783
1368	54944	145730
1369	54977	145670
1370	55010	145610
1371	55085	145664
1372	55159	145712
1373	55196	145663
1374	55230	145607
1375	55262	145546
1376	55294	145485
1377	55331	145435
1378	55368	145386
1379	55401	145329
1380	55437	145276
1381	55475	145232
1382	55511	145179
1383	55558	145158
1384	55591	145099
1385	55626	145046
1386	55663	144998
1387	55702	144955
1388	55738	144903
1389	55774	144854
1390	55808	144796
1391	55844	144746
1392	55877	144687
1393	55911	144632
1394	55946	144577
1395	55980	144522
1396	56013	144464
1397	56047	144408
1398	56079	144348
1399	56114	144293
1400	56150	144244
1401	56184	144187
1402	56218	144132
1403	56253	144080
1404	56288	144025
1405	56322	143970
1406	56358	143920
1407	56390	143859
1408	56424	143804
1409	56459	143750
1410	56494	143698
1411	56534	143658
1412	56568	143604
1413	56602	143547
1414	56634	143488
1415	56668	143431
1416	56702	143376
1417	56734	143317
1418	56772	143271
1419	56804	143211
1420	56840	143160
1421	56874	143105
1422	56905	143044
1423	56938	142986
1424	56973	142932
1425	57008	142880
1426	57042	142825
1427	57085	142794
1428	57120	142742
1429	57155	142688
1430	57189	142633
1431	57224	142580
1432	57261	142534
1433	57296	142483
1434	57329	142424
1435	57361	142364
1436	57393	142305
1437	57428	142253
1438	57462	142198
1439	57499	142150
1440	57539	142112
1441	57577	142067
1442	57613	142018
1443	57651	141972
1444	57685	141918
1445	57721	141868
1446	57756	141815
1447	57788	141757
1448	57826	141712
1449	57863	141664
1450	57897	141611
1451	57932	141559
1452	57965	141503
1453	57998	141446
1454	58035	141398
1455	58070	141346
1456	58109	141304
1457	58143	141251
1458	58180	141204
1459	58216	141156
1460	58250	141102
1461	58284	141046
1462	58316	140987
1463	58350	140933
1464	58382	140876
1465	58416	140821
1466	58454	140775
1467	58487	140720
1468	58521	140665
1469	58575	140660
1470	58628	140653
1471	58673	140625
1472	58721	140604
1473	58758	140557
1474	58792	140504
1475	58828	140453
1476	58867	140412
1477	58900	140356
1478	58938	140311
1479	58973	140260
1480	59005	140203
1481	59042	140156
1482	59078	140106
1483	59116	140063
1484	59161	140035
1485	59196	139983
1486	59232	139936
1487	59282	139918
1488	59317	139869
1489	59353	139819
1490	59403	139802
1491	59443	139763
1492	59480	139718
1493	59522	139682
1494	59577	139678
1495	59641	139696
1496	59717	139739
1497	59784	139762
1498	59821	139716
1499	59855	139663
1500	59890	139610
1501	59937	139588
1502	60004	139612
1503	60037	139555
1504	60069	139495
1505	60100	139437
1506	60135	139384
1507	60168	139329
1508	60206	139283
1509	60266	139291
1510	60300	139236
1511	60336	139189
1512	60370	139136
1513	60402	139076
1514	60438	139028
1515	60470	138970
1516	60503	138915
1517	60542	138872
1518	60579	138825
1519	60616	138779
1520	60650	138726
1521	60685	138676
1522	60721	138625
1523	60757	138578
1524	60789	138520
1525	60825	138470
1526	60858	138416
1527	60891	138361
1528	60930	138320
1529	60965	138267
1530	60996	138208
1531	61030	138155
1532	61064	138103
1533	61101	138055
1534	61133	137998
1535	61167	137945
1536	61199	137889
1537	61233	137834
1538	61267	137781
1539	61301	137729
1540	61336	137678
1541	61370	137626
1542	61403	137571
1543	61435	137512
1544	61466	137454
1545	61500	137402
1546	61541	137363
1547	61590	137345
1548	61665	137384
1549	61709	137353
1550	61743	137300
1551	61780	137254
1552	61813	137198
1553	61850	137152
1554	61886	137105
1555	61921	137055
1556	61956	137005
1557	61991	136953
1558	62023	136896
1559	62055	136841
1560	62090	136790
1561	62124	136736
1562	62158	136685
1563	62195	136639
1564	62229	136586
1565	62264	136535
1566	62299	136486
1567	62335	136438
1568	62369	136387
1569	62403	136333
1570	62445	136299
1571	62501	136294
1572	62557	136290
1573	62605	136267
1574	62644	136227
1575	62682	136183
1576	62727	136154
1577	62775	136133
1578	62818	136099
1579	62859	136061
1580	62898	136020
1581	62935	135975
1582	62969	135923
1583	63001	135867
1584	63037	135819
1585	63072	135768
1586	63104	135711
1587	63140	135664
1588	63173	135609
1589	63206	135555
1590	63240	135503
1591	63275	135453
1592	63309	135401
1593	63343	135350
1594	63378	135299
1595	63415	135254
1596	63447	135198
1597	63481	135147
1598	63513	135089
1599	63546	135036
1600	63580	134983
1601	63616	134936
1602	63653	134891
1603	63690	134845
1604	63726	134799
1605	63762	134750
1606	63798	134703
1607	63832	134651
1608	63864	134595
1609	63897	134542
1610	63930	134488
1611	63963	134434
1612	63997	134382
1613	64032	134332
1614	64065	134280
1615	64100	134230
1616	64133	134177
1617	64169	134129
1618	64206	134084
1619	64241	134034
1620	64280	133993
1621	64313	133941
1622	64347	133888
1623	64381	133837
1624	64415	133785
1625	64480	133798
1626	64531	133783
1627	64568	133738
1628	64605	133692
1629	64639	133641
1630	64674	133591
1631	64705	133534
1632	64739	133483
1633	64775	133436
1634	64815	133397
1635	64851	133348
1636	64885	133299
1637	64918	133245
1638	64952	133194
1639	64986	133142
1640	65023	133098
1641	65058	133048
1642	65091	132995
1643	65126	132946
1644	65164	132903
1645	65198	132852
1646	65229	132796
1647	65262	132742
1648	65297	132694
1649	65333	132647
1650	65368	132597
1651	65398	132538
1652	65429	132481
1653	65459	132423
1654	65495	132376
1655	65532	132330
1656	65565	132278
1657	65603	132236
1658	65640	132191
1659	65675	132141
1660	65708	132089
1661	65740	132034
1662	65774	131983
1663	65806	131930
